,date,symbol,symbol_name,action,price,shares,commission,return
155,2019-08-01,511270,10年地方债ETF,sell,83.24,,2.4972,0.008969696969696907
156,2019-08-01,518880,黄金ETF,sell,3.112,,2.70744,0.025708635464733124
157,2019-08-01,513100,纳指ETF,sell,0.563,,2.1450299999999998,0.014414414414414226
158,2019-08-01,513500,标普500ETF,sell,0.963,,1.7045099999999997,0.00732217573221758
159,2019-08-01,510880,红利ETF,sell,2.005,,1.3233,-0.019080234833659563
160,2019-08-01,511270,10年地方债ETF,buy,83.24,100.0,2.4972,
161,2019-08-01,518880,黄金ETF,buy,3.112,2800.0,2.61408,
162,2019-08-01,513100,纳指ETF,buy,0.563,12700.0,2.1450299999999998,
163,2019-08-01,513500,标普500ETF,buy,0.963,5900.0,1.7045099999999997,
164,2019-08-01,510880,红利ETF,buy,2.005,2200.0,1.3233,
165,2019-09-02,511270,10年地方债ETF,sell,84.51,,2.5353,0.015257087938491233
166,2019-09-02,518880,黄金ETF,sell,3.496,,2.9366399999999997,0.12339331619537271
167,2019-09-02,513100,纳指ETF,sell,0.567,,2.1602699999999997,0.007104795737122565
168,2019-09-02,513500,标普500ETF,sell,0.972,,1.72044,0.009345794392523372
169,2019-09-02,510880,红利ETF,sell,1.988,,1.31208,-0.008478802992518656
170,2019-09-02,511270,10年地方债ETF,buy,84.51,100.0,2.5353,
171,2019-09-02,518880,黄金ETF,buy,3.496,2600.0,2.72688,
172,2019-09-02,513100,纳指ETF,buy,0.567,12800.0,2.1772799999999997,
173,2019-09-02,513500,标普500ETF,buy,0.972,6000.0,1.7495999999999998,
174,2019-09-02,510880,红利ETF,buy,1.988,2300.0,1.3717199999999998,
175,2019-10-08,511270,10年地方债ETF,sell,85.008,,2.5502399999999996,0.005892793752218559
176,2019-10-08,518880,黄金ETF,sell,3.39,,2.6441999999999997,-0.030320366132723077
177,2019-10-08,513100,纳指ETF,sell,0.569,,2.1849599999999993,0.0035273368606701973
178,2019-10-08,513500,标普500ETF,sell,0.976,,1.7568,0.0041152263374485635
179,2019-10-08,510880,红利ETF,sell,1.991,,1.3737899999999998,0.0015090543259557916
180,2019-10-08,511270,10年地方债ETF,buy,85.008,100.0,2.5502399999999996,
181,2019-10-08,518880,黄金ETF,buy,3.39,2600.0,2.6441999999999997,
182,2019-10-08,513100,纳指ETF,buy,0.569,12800.0,2.1849599999999993,
183,2019-10-08,513500,标普500ETF,buy,0.976,5900.0,1.7275199999999997,
184,2019-10-08,510880,红利ETF,buy,1.991,2300.0,1.3737899999999998,
185,2019-11-01,511270,10年地方债ETF,sell,84.93,,2.5479,-0.0009175607001692635
186,2019-11-01,518880,黄金ETF,sell,3.387,,2.64186,-0.0008849557522124229
187,2019-11-01,513100,纳指ETF,sell,0.591,,2.2694399999999995,0.03866432337434099
188,2019-11-01,513500,标普500ETF,sell,1.0,,1.7699999999999998,0.024590163934426253
189,2019-11-01,510880,红利ETF,sell,2.007,,1.38483,0.008036162732295335
190,2019-11-01,511270,10年地方债ETF,buy,84.93,100.0,2.5479,
191,2019-11-01,518880,黄金ETF,buy,3.387,2700.0,2.74347,
192,2019-11-01,513100,纳指ETF,buy,0.591,12400.0,2.19852,
193,2019-11-01,513500,标普500ETF,buy,1.0,5800.0,1.7399999999999998,
194,2019-11-01,510880,红利ETF,buy,2.007,2300.0,1.38483,
195,2019-12-02,511270,10年地方债ETF,sell,85.96,,2.5787999999999998,0.012127634522547826
196,2019-12-02,518880,黄金ETF,sell,3.269,,2.6478900000000003,-0.03483909064068494
197,2019-12-02,513100,纳指ETF,sell,0.624,,2.32128,0.0558375634517767
